,a_toff.uid,wiff_file_name,wiff_artifact_uid
42,316242db-ddb6-4d43-acaa-4d01c472b3c6,20171107_SWATH_LungE_6_R2,9c5ab86f-ab49-4f75-866c-1a6e8397d8c9
43,c1e89a4b-d8aa-46af-b47d-ea939684724a,20171129_SWATH_LI3_E_R2,d7cd0af0-8851-4980-bc58-6376d1e5833a
44,87195f85-4752-479f-af6b-de5a784dc00a,20171126_SWATH_LI5_NoE_R3,ae098b54-012f-4e09-9bb4-cb49368c0bb3
45,1690b6c6-96f4-4b60-b1ba-53252e8837c0,20171129_SWATH_LI7_E_R3,f6b22807-fef9-438f-a494-50e232d8abc6
46,00e7b6a9-2bf2-4278-89a0-400135199e85,20171123_SWATH_Lu4_NoE_R3,3fd60dcf-4da3-4108-8bd6-ce46ddc50968
47,12368fc2-566c-4404-b0a8-a0ed2d817f89,20171107_SWATH_LungE_8_R3,f93e97ad-4206-414d-a521-82a0a3aafa0b
48,09368258-e978-472a-8190-d20014814501,20171107_SWATH_LungE_7_R1,8c33a46c-ab93-42a2-8b25-c719a46e0711
49,0b434cc6-99cd-43ca-923b-ca556a897d4c,20171123_SWATH_Lu8_NoE_R1,ad04378a-a3ec-4f27-b404-7570add11e98
50,9097dd65-1647-41b4-a986-9843ea800eb3,20171129_SWATH_LI3_E_R1,2350f9b6-a399-4c17-978c-36a6894c5ae1
51,62317603-fa58-49bc-9220-223787832eab,20171129_SWATH_LI8_E_R3,c139204b-f9ea-47fe-ae07-a642b19aab5c
52,766610bd-cf11-4c46-850f-2ea94e18ca4d,20171107_SWATH_LungE_8_R2,6db77f91-2902-40c9-9d65-21994416dd23
53,9764f52c-0310-4d1e-913e-9d07d9db0e21,20171126_SWATH_LI3_NoE_R1,03b0156c-244f-45b2-8912-c494da8705b7
54,85eb44f2-b454-4377-8692-96b2f102a769,20171123_SWATH_Lu5_NoE_R3,4149738b-a652-4ae8-aa7a-cfda25975dde
55,5edf92b6-4547-4e80-8586-066b2ccda32d,20171126_SWATH_LI6_NoE_R2,a0a6a93e-fae0-4439-aed2-7dbe22e486e2
56,a6df6a49-125e-4e93-8737-dc22900a7e1c,20171126_SWATH_LI6_NoE_R3,9fb17208-9f9d-4dcc-815a-424f86cef33e
57,d2f958ca-bf77-4a6d-972a-ff3029074061,20171129_SWATH_LI5_E_R3,08ccf592-6efa-4df8-b7b1-804ac63bb7dc
58,ac095be3-9648-4835-ba0d-511b66dfa0d0,20171129_SWATH_LI4_E_R2,bce5ca16-abec-40e5-89da-e6e3ea655853
59,8141f007-ab52-4df8-9277-ca95345fb5ab,20171129_SWATH_LI4_E_R3,4a5e9039-4708-45fb-a847-527c161175fb
60,ec6f0a43-dda6-4ab5-96fc-c12bea73865a,20171126_SWATH_LI8_NoE_R1,89ede98b-1043-4f4d-a220-b51b2400fb21
61,827bd7da-bcef-4964-ad6b-5c0a225f9c93,20171123_SWATH_Lu8_NoE_R3,e9b9cb6a-a43c-4581-b16a-0cf27d9bb95f
62,13c8055b-be27-4033-b798-0d44223af177,20171129_SWATH_LI5_E_R1,783822cf-793c-465c-a417-02e4d80dc4d4
63,c5485b7d-0fd5-4198-af1b-445d36cb98eb,20171123_SWATH_Lu7_NoE_R2,393e08d7-f45d-41d0-8d60-a390bf295d46
64,4558e7ca-6cfe-4e15-8af8-974f500a98c4,20171107_SWATH_LungE_4_R1,7ec717bc-8135-45dd-ab04-28c8625ea711
65,15beaa41-a158-400e-b69f-6e46109338bb,20171129_SWATH_LI6_E_R2,93992136-0341-40e9-814a-c02c6ff4af53
66,5edff39d-9fd1-481c-83c8-baa2cefc7a2a,20171107_SWATH_LungE_6_R3,59fd6443-a0dc-408a-942d-9e2895395b45
67,8f72816b-472f-4465-a695-1c1fe013687f,20171123_SWATH_Lu7_NoE_R3,836248df-23c6-4b00-acb9-bf3eb1b351db
68,76e760f6-1cb7-4608-a41d-1346b2809b21,20171123_SWATH_Lu5_NoE_R1,198330e3-c982-4f32-8f09-8adc0bda63e2
69,61ca942c-38a9-4dcc-9c3b-723de119abc2,20171126_SWATH_LI4_NoE_R1,069b3b13-aff4-46cf-bd29-1cd422818180
70,c289388b-9b76-4fa8-9e4d-e4e19ab98597,20171107_SWATH_LungE_7_R3,10839473-8098-4c70-a1c1-7e123e298c28
71,a30b448a-4f8f-442c-b706-dfe076431fe9,Unpacked_From_20171123_SWATH_Lu3_NoE_R1_1,f57b97bb-7265-4829-99ab-f2f5d72a4bbd
